Date,Adj_Close,Close,High,Low,Open,Volume
22-07-1997,2.335255384,5.84375,5.859375,5.773437977,5.773437977,2320800
23-07-1997,2.307155609,5.773437977,5.867187977,5.757812977,5.851562977,2211200
24-07-1997,2.329010963,5.828125,5.875,5.734375,5.773437977,3674400
25-07-1997,2.347741842,5.875,5.898437977,5.828125,5.828125,3500000
28-07-1997,2.35710907,5.898437977,5.90625,5.851562977,5.890625,2580000
29-07-1997,2.382084608,5.960937977,5.96875,5.898437977,5.90625,2276800
30-07-1997,2.388328552,5.976562977,5.992187977,5.9375,5.9375,4061600
31-07-1997,2.391450644,5.984375,6.007812977,5.960937977,5.984375,2193600
01-08-1997,2.388328552,5.976562977,6,5.929687977,5.96875,3849600
04-08-1997,2.37896204,5.953125,5.984375,5.929687977,5.960937977,2676000
05-08-1997,2.382084608,5.960937977,5.976562977,5.945312977,5.953125,1349600
06-08-1997,2.391450644,5.984375,6.007812977,5.960937977,5.96875,3532000
07-08-1997,2.372717619,5.9375,6,5.9375,5.992187977,2845600
08-08-1997,2.35710907,5.898437977,5.945312977,5.84375,5.898437977,2400800
11-08-1997,2.388328552,5.976562977,5.976562977,5.90625,5.914062977,2931200
12-08-1997,2.375840664,5.945312977,6.015625,5.9375,5.976562977,1363200
13-08-1997,2.35710907,5.898437977,5.976562977,5.851562977,5.976562977,2707200
14-08-1997,2.35086441,5.882812977,5.953125,5.851562977,5.914062977,2229600
15-08-1997,2.304033518,5.765625,5.859375,5.765625,5.820312977,2596800
18-08-1997,2.35710907,5.898437977,5.898437977,5.765625,5.765625,1944800
19-08-1997,2.363353252,5.914062977,5.953125,5.882812977,5.9375,1984000
20-08-1997,2.35710907,5.898437977,5.921875,5.867187977,5.898437977,1863200
21-08-1997,2.313401461,5.789062977,5.875,5.773437977,5.867187977,3586400
22-08-1997,2.338377237,5.851562977,5.851562977,5.734375,5.734375,1357600
25-08-1997,2.35086441,5.882812977,5.945312977,5.820312977,5.851562977,2644000
26-08-1997,2.369598627,5.929687977,5.9375,5.84375,5.890625,2405600
27-08-1997,2.365433931,5.859375,5.875,5.828125,5.875,9656800
28-08-1997,2.371740341,5.875,5.898437977,5.796875,5.84375,1742400
29-08-1997,2.337049246,5.789062977,5.851562977,5.78125,5.828125,2704800
02-09-1997,2.371740341,5.875,5.875,5.789062977,5.796875,5060000
03-09-1997,2.378049135,5.890625,5.976562977,5.882812977,5.90625,2071200
04-09-1997,2.374895573,5.882812977,5.90625,5.859375,5.859375,2438400
05-09-1997,2.359126568,5.84375,5.945312977,5.820312977,5.90625,1776800
08-09-1997,2.387511969,5.914062977,5.9375,5.835937977,5.84375,4547200
09-09-1997,2.40328002,5.953125,5.984375,5.890625,5.921875,1712000
10-09-1997,2.396972418,5.9375,5.960937977,5.914062977,5.921875,3534400
11-09-1997,2.409588099,5.96875,5.984375,5.921875,5.9375,3077600
12-09-1997,2.453743458,6.078125,6.078125,5.984375,6,3692000
15-09-1997,2.4663589,6.109375,6.171875,6.039062977,6.046875,3721600
16-09-1997,2.519975901,6.242187977,6.257812977,6.148437977,6.15625,3002400
17-09-1997,2.513667583,6.226562977,6.25,6.171875,6.242187977,3655200
18-09-1997,2.501052618,6.195312977,6.265625,6.195312977,6.210937977,5899200
19-09-1997,2.516820908,6.234375,6.242187977,6.179687977,6.203125,2946400
22-09-1997,2.535743952,6.28125,6.328125,6.234375,6.234375,1674400
23-09-1997,2.532590866,6.273437977,6.328125,6.25,6.28125,2212800
24-09-1997,2.523127794,6.25,6.3125,6.21875,6.296875,1977600
25-09-1997,2.538899183,6.289062977,6.304687977,6.226562977,6.234375,4280000
26-09-1997,2.548359632,6.3125,6.34375,6.28125,6.296875,1780800
29-09-1997,2.56728363,6.359375,6.359375,6.265625,6.265625,4088800
30-09-1997,2.589360237,6.414062977,6.445312977,6.34375,6.359375,4604800
01-10-1997,2.573592663,6.375,6.40625,6.304687977,6.390625,4160800
02-10-1997,2.586206436,6.40625,6.421875,6.335937977,6.359375,2880800
03-10-1997,2.56728363,6.359375,6.5,6.34375,6.5,3085600
06-10-1997,2.573592663,6.375,6.390625,6.335937977,6.375,1398400
07-10-1997,2.573592663,6.375,6.390625,6.296875,6.328125,5152800
08-10-1997,2.557822227,6.335937977,6.375,6.265625,6.375,3169600
09-10-1997,2.532590866,6.273437977,6.28125,6.226562977,6.25,1896000
10-10-1997,2.519975901,6.242187977,6.28125,6.1875,6.203125,2150400
